video_id,title,video_url,creator,current_ingredients,current_tags,current_time,current_temperature,current_knife,current_heat,audit_category,correct_ingredients,correct_time,correct_temperature,correct_knife,correct_heat,reviewer,reviewed_at,review_status,notes
r2JXTDz7Qf8,【再現】吉野家の牛丼の再現!!テレビでも紹介された大絶賛レシピ。,https://www.youtube.com/watch?v=r2JXTDz7Qf8,再現レシピ稲垣飛鳥のasucafe channel,牛肉、ご飯・米、ネギ、玉ねぎ、ショウガ,"beef,rice,green_onion,onion,ginger",easy,warm,true,true,米,,,,,,,,unreviewed,
hkpA_NetwFo,たった125円！たった7分！究極の節約飯の『すき焼き丼』が悶絶級に旨いっ！,https://www.youtube.com/watch?v=hkpA_NetwFo,だれウマ【料理研究家】,豚肉、卵、ご飯・米、ネギ,"pork,egg,rice,green_onion",easy,warm,true,true,肉類,,,,,,,,unreviewed,
5fDke9I_PVQ,やみつき肉巻きキャベツの作り方！#簡単レシピ #キャベツ #shorts,https://www.youtube.com/watch?v=5fDke9I_PVQ,料理研究家ゆかりのおうちで簡単レシピ / Yukari's Kitchen,豚肉、卵、キャベツ、ショウガ、にんにく,"pork,egg,cabbage,ginger,garlic",normal,warm,true,true,葉物野菜,,,,,,,,unreviewed,
VvS9AHhg4cc,手取り18万円OLの100円レシピ⁡#自炊 #料理 #一人暮らし #簡単 #節約 #cooking #小籠包,https://www.youtube.com/watch?v=VvS9AHhg4cc,みぃ | 手取り19万円上京OL,挽肉、豆腐、ネギ、玉ねぎ、ショウガ、にんにく,"minced_meat,tofu,green_onion,onion,ginger,garlic",easy,warm,true,true,豆腐・大豆系,,,,,,,,unreviewed,
pGDE3cs_vAM,やる気1%でワンパン和風パスタ,https://www.youtube.com/watch?v=pGDE3cs_vAM,まるみキッチン【簡単レシピ】,ツナ、卵、パスタ、ネギ、にんにく、マヨネーズ,"canned_tuna,egg,pasta,green_onion,garlic,mayonnaise",normal,warm,true,true,魚介,,,,,,,,unreviewed,
PWhyYoay-L8,1食190円チキンマカロニグラタン弁当#shorts#簡単レシピ#節約レシピ,https://www.youtube.com/watch?v=PWhyYoay-L8,ゆみ⌇年150万貯める独身女の冷凍ｽﾄｯｸ,鶏肉、ネギ、玉ねぎ、しめじ、チーズ、バター、牛乳、小麦粉,"chicken,green_onion,onion,shimeji,cheese,butter,milk,flour",easy,warm,true,true,鶏肉,,,,,,,,unreviewed,
UZeUikY2U8Q,最高においしい牛丼の作り方/ How to make the most delicious gyudon,https://www.youtube.com/watch?v=UZeUikY2U8Q,Ryogo,ご飯・米、パスタ,"rice,pasta",easy,warm,false,true,麺,,,,,,,,unreviewed,
TxjW2BdLhaE,超簡単【レンチンパスタ】白だしを混ぜてチンするだけですぐ食べられる♪市販のパスタもう買えない,https://www.youtube.com/watch?v=TxjW2BdLhaE,夫手取り17万円の節約ごはん,ベーコン、パスタ、しめじ、にんにく,"bacon,pasta,shimeji,garlic",normal,warm,false,true,きのこ,,,,,,,,unreviewed,
_1ZkqakvXeA,【誰でも簡単】ドケチ主婦が月４万円で暮らすために実践する「食費節約術７選」｜節約レシピ紹介/節約生活/５人家族,https://www.youtube.com/watch?v=_1ZkqakvXeA,リッチじゃない暮らし,鶏肉、豆腐、ビーフン・フォー、パスタ、ネギ、もやし、トマト、玉ねぎ、大根、にんにく、チーズ,"chicken,tofu,rice_noodles,pasta,green_onion,bean_sprouts,tomato,onion,daikon,garlic,cheese",easy,warm,true,true,チーズ・バター・マヨ系,,,,,,,,unreviewed,
sCSd31meCwE,【簡単レシピ】フライパン一つで完成！カルボナーラ #shorts,https://www.youtube.com/watch?v=sCSd31meCwE,【料理研究家 水野あき】3児のママの時短レシピ,ベーコン、卵、パスタ、にんにく、チーズ、牛乳,"bacon,egg,pasta,garlic,cheese,milk",normal,warm,false,true,卵,,,,,,,,unreviewed,
pEcyz3X5-Wg,やる気1%でピリ辛まぜうどん,https://www.youtube.com/watch?v=pEcyz3X5-Wg,まるみキッチン【簡単レシピ】,卵、うどん、にんにく,"egg,udon,garlic",easy,warm,false,true,根菜,,,,,,,,unreviewed,
1hiR6Wsb2E0,答えは0:07秒あたりを見てね【卵だけあんかけ丼】丁寧に工程を見たい人はアプリで検索♪#卵 #たまご #丼 #丼飯 #あんかけ #中華料理 #天津飯 #簡単レシピ #レシピ動画 #料理動画,https://www.youtube.com/watch?v=1hiR6Wsb2E0,デリッシュキッチン,卵、ご飯・米、ネギ、ショウガ、マヨネーズ,"egg,rice,green_onion,ginger,mayonnaise",easy,warm,true,true,米,,,,,,,,unreviewed,
9u-cnryG3VU,豚肉と玉ねぎのうどん#簡単レシピ#レシピ#うどん#簡単料理#料理,https://www.youtube.com/watch?v=9u-cnryG3VU,まゆみの愛情キッチン,豚肉、うどん、ネギ、玉ねぎ、ショウガ,"pork,udon,green_onion,onion,ginger",easy,warm,true,true,肉類,,,,,,,,unreviewed,
o-txnOqg9OI,究極のやみつき無限きゅうり,https://www.youtube.com/watch?v=o-txnOqg9OI,まるみキッチン【簡単レシピ】,ツナ、きゅうり,"canned_tuna,cucumber",normal,warm,true,true,葉物野菜,,,,,,,,unreviewed,
N8pYxmyx4cE,【節約レシピ】厚揚げ大葉チーズ,https://www.youtube.com/watch?v=N8pYxmyx4cE,節約レシピ,厚揚げ、チーズ,"atsuage,cheese",normal,warm,false,true,豆腐・大豆系,,,,,,,,unreviewed,
9U9CBWraNhI,ポテトサラダまだ茹でてる🥔？#YouTubeshorts #レシピ #ポテトサラダ #時短 #時短レシピ #アイラップ,https://www.youtube.com/watch?v=9U9CBWraNhI,Akkaの時短クッキング,ハム、ベーコン、ツナ、卵、きゅうり、じゃが芋、にんじん、マヨネーズ,"ham,bacon,canned_tuna,egg,cucumber,potato,carrot,mayonnaise",easy,cold,true,false,魚介,,,,,,,,unreviewed,
t73GhEe2ddg,一度に作って大量冷凍！忙しくても手間なしで野菜＆たんぱく質がとれる【一人鍋冷凍セット】基本のストックとアレンジレシピ5選,https://www.youtube.com/watch?v=t73GhEe2ddg,おすぎ(管理栄養士),鶏肉、挽肉、キャベツ、トマト、にんじん、かぼちゃ、レンコン、しめじ、チーズ、バター、カレールゥ,"chicken,minced_meat,cabbage,tomato,carrot,pumpkin,lotus_root,shimeji,cheese,butter,curry_roux",normal,cold,true,true,鶏肉,,,,,,,,unreviewed,
qrCTLXlXQMM,【時短レシピ10選】10分でパパッと完成！スピードメニューレシピ♪｜macaroni（マカロニ）,https://www.youtube.com/watch?v=qrCTLXlXQMM,macaroni | マカロニ,豚肉、ベーコン、サバ、厚揚げ、卵、うどん、中華麺、キャベツ、napa_cabbage、にら、ネギ、もやし、トマト、なす、えのき茸、しいたけ、ショウガ、にんにく、チーズ、バター、マヨネーズ,"pork,bacon,mackerel,atsuage,egg,udon,noodles,cabbage,napa_cabbage,nira,green_onion,bean_sprouts,tomato,eggplant,enoki,shiitake,ginger,garlic,cheese,butter,mayonnaise",easy,warm,true,true,麺,,,,,,,,unreviewed,
NH_84NdsTI4,レンジで6分！やみつきえのき漬け #簡単レシピ #時短レシピ #ダイエットレシピ #ヘルシーレシピ #無添加,https://www.youtube.com/watch?v=NH_84NdsTI4,むに ⌇ 共働き夫婦のゆる無添加🌿,ネギ、えのき茸、にんにく,"green_onion,enoki,garlic",easy,cold,true,true,きのこ,,,,,,,,unreviewed,
1-U-XOMgVQM,某チェーン店さん本当にごめんなさいパスタ#shorts #リュウジ #カプリチョーザ #再現 #レシピ #パスタ #料理,https://www.youtube.com/watch?v=1-U-XOMgVQM,料理研究家リュウジのバズレシピ,パスタ、ネギ、トマト、玉ねぎ、にんにく、チーズ,"pasta,green_onion,tomato,onion,garlic,cheese",normal,warm,true,true,チーズ・バター・マヨ系,,,,,,,,unreviewed,
S5FeHK8Lf20,究極の手抜き焼きそば。これでいいんだよ。「焼きそば焼き」 詳しいレシピは概要欄をチェック！#簡単レシピ #焼きそば #一人暮らし #節約レシピ #料理動画 #shorts,https://www.youtube.com/watch?v=S5FeHK8Lf20,デリッシュキッチン,卵、そば、中華麺、ネギ、マヨネーズ,"egg,soba,noodles,green_onion,mayonnaise",easy,warm,true,true,卵,,,,,,,,unreviewed,
9NJSd8dtwQY,イタリアンシェフが教える想像を超えるパスタ「ミントとチーズのスパゲッティー」【イタリアンプロ養成講座 vol.197】,https://www.youtube.com/watch?v=9NJSd8dtwQY,小倉知巳のイタリアンプロ養成講座,パスタ、トマト、ショウガ、にんにく、チーズ、バター,"pasta,tomato,ginger,garlic,cheese,butter",normal,warm,true,true,根菜,,,,,,,,unreviewed,
GIMYieI6bTQ,[町中華]元ラーメン屋が作る坦々うどん#ラーメン#shorts,https://www.youtube.com/watch?v=GIMYieI6bTQ,えびすごはん 料理研究家 えびすまさき,えび、うどん、ラーメン、ネギ、牛乳、小麦粉,"shrimp,udon,ramen,green_onion,milk,flour",easy,warm,true,true,米,,,,,,,,unreviewed,
a9J1ap9E0ec,簡単すぎる。絶品肉つけうどん🥢 #簡単レシピ #ズボラ飯,https://www.youtube.com/watch?v=a9J1ap9E0ec,腹へったch,豚肉、うどん、ネギ,"pork,udon,green_onion",easy,warm,true,true,肉類,,,,,,,,unreviewed,
u3_dLqrWRuE,牛丼の作り方｜おうちで簡単にお店の味！ちょっと一手間で激ウマに仕上がる絶品牛丼レシピ！旨味たっぷりで最後の一口まで大満足！-How to make【料理研究家ゆかり】,https://www.youtube.com/watch?v=u3_dLqrWRuE,料理研究家ゆかりのおうちで簡単レシピ / Yukari's Kitchen,牛肉、豚肉、卵、ご飯・米、napa_cabbage、ネギ、玉ねぎ、ショウガ,"beef,pork,egg,rice,napa_cabbage,green_onion,onion,ginger",easy,warm,true,true,葉物野菜,,,,,,,,unreviewed,
50_nURL62nM,#肉豆腐 #japanesefood #簡単レシピ #簡単料理 #自炊 #おうちごはん #cooking #豆腐,https://www.youtube.com/watch?v=50_nURL62nM,うんうん,豆腐,tofu,normal,warm,false,true,豆腐・大豆系,,,,,,,,unreviewed,
GBbapHXLcZc,【2ヶ月で6キロ痩せた】食べ痩せ豆腐グラタン #ダイエットレシピ #簡単レシピ,https://www.youtube.com/watch?v=GBbapHXLcZc,うちこ【ダイエットレシピ】,えび、豆腐、卵、チーズ,"shrimp,tofu,egg,cheese",easy,warm,false,true,魚介,,,,,,,,unreviewed,
d_org5K7DT0,我慢しない鶏むねユッケ丼 #彼ごはん#彼ご飯#自炊#簡単レシピ#ヘルシーレシピ#ダイエットレシピ#太らないレシピ#鶏むねユッケ#どんぶり#鶏むねレシピ#高タンパクレシピ#筋肉レシピ#レンチンレシピ,https://www.youtube.com/watch?v=d_org5K7DT0,なぎ【冷凍弁当で月1万円節約】,鶏肉、ご飯・米,"chicken,rice",easy,warm,true,true,鶏肉,,,,,,,,unreviewed,
yyk948nJ-nM,冷たいのにコクうま！究極の冷しゃぶうどんがマジで止まらん！,https://www.youtube.com/watch?v=yyk948nJ-nM,ハマごはん【お手軽レシピ】,豚肉、うどん、ネギ,"pork,udon,green_onion",easy,cold,true,true,麺,,,,,,,,unreviewed,
